experiment,model,sweep,count,mean_test_nmse,std_test_nmse,min_test_nmse,max_test_nmse,mean_train_nmse,n_params
xy_time_dep,Fourier full,3,1,0.73138772437947,0.0,0.73138772437947,0.73138772437947,0.762867520641345,13
xy_time_dep,Fourier full,6,1,0.7207543907271783,0.0,0.7207543907271783,0.7207543907271783,0.7475596692697732,25
xy_time_dep,Fourier full,10,1,0.5772364796024854,0.0,0.5772364796024854,0.5772364796024854,0.5624602366268274,41
xy_time_dep,Fourier full,20,1,0.014489945701464776,0.0,0.014489945701464776,0.014489945701464776,0.01765562029088038,81
xy_time_dep,MLP,all,3,0.7490754652286787,0.10581259904701079,0.6288677455737232,0.8281235647769838,0.6888367889580974,1153
xy_time_dep,QCL,3,3,0.8419453484493221,0.09530816287864317,0.7590363649881225,0.9460753637706736,0.8632289178488315,9
xy_time_dep,QCL,6,3,0.8845896510738799,0.10664675041986223,0.8042588019723467,1.005586662192562,0.8950128429565108,18
xy_time_dep,QCL,10,3,0.7832654497489662,0.013689771277343804,0.7723208370211367,0.7986155811166135,0.7477351695049649,30
xy_time_dep,QCL,20,3,0.23330490707890914,0.025016615924004657,0.21468588278005551,0.26174110275968,0.2081689556141725,60
hubbard_time_dep,Fourier full,3,1,1.008875301331426,0.0,1.008875301331426,1.008875301331426,0.9972624631638354,13
hubbard_time_dep,Fourier full,6,1,1.019555865246152,0.0,1.019555865246152,1.019555865246152,0.9915454217656094,25
hubbard_time_dep,Fourier full,10,1,0.8846308724534505,0.0,0.8846308724534505,0.8846308724534505,0.9023812406917773,41
hubbard_time_dep,Fourier full,20,1,0.05632100982930523,0.0,0.05632100982930523,0.05632100982930523,0.07027396912107672,81
hubbard_time_dep,MLP,all,3,0.8601218072605582,0.13215545916040194,0.7685363558498438,1.0116223576683394,0.7902502610094794,1153
hubbard_time_dep,QCL,3,3,1.0534879587394161,0.07186650808932163,0.9961854737853759,1.1341210624616969,1.0312125687953573,9
hubbard_time_dep,QCL,6,3,1.2775556573777265,0.2008213843919928,1.0511079518757223,1.4340265439434852,1.3022669117956396,18
hubbard_time_dep,QCL,10,3,1.0782257123450876,0.06942507779811814,1.0047928605424914,1.1427909018523021,1.1237810354630617,30
hubbard_time_dep,QCL,20,3,0.3196606342914559,0.09888992886968352,0.26230740657700147,0.4338484958585694,0.32046574387178883,60
